,repo_id,commit_id,commit_index,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
15855,mertceyhan_push-note-android,777fd6c0fa5a589d861acd7334f039efbd602cf4,0,1662054536,"Initial commit
",,96,0,0,0,96,"7,8,2,1,0,40,0,1,13,9,13,2",12,96,12.0,1
16003,arfinhosainn_jetbee,84882f52a5e328502757068519fa86e45ebffcd5,0,1668823440,"initial commit
",,117,0,0,0,117,"6,9,3,1,0,41,0,3,10,33,11",11,117,11.0,1
21862,opentracksapp_opentracks,45909e70b61709ef61228b9b6d8013b1648c472f,0,1383688123,"Update calorie when the activity type is set at the end of the track by the activity recognition api
",,1120,0,0,0,1120,"1,37,49,588,24,81,26,35,142,91,46,0,0",11,1120,11.0,1
26662,addthis_hydra,4dc27085808a8fc367acb2d84dc81911670b2a8d,0,1388155442,"Initial Commit
",,1468,0,0,0,1468,"5,10,4,26,71,117,47,317,269,346,256,0",11,1468,11.0,1
29998,jenly1314_mvvmframecomponent,77130b4e47c3d5b2adb55975f3ada147b1882fac,0,1592844975,"Initial commit
",,210,0,0,0,210,"10,24,8,8,2,89,0,0,17,22,30",11,210,11.0,1
37715,alibaba_cloud-native-app-initializer,b97d7515a18575205b255751ff18b218b2eaa400,1,1670000643,"Merge pull request #2 from steverao/master

Project initial ","c0d1289ba5bac2edc45e776aaea5953ddf72a414,757052693bfe52af119f1113751f11feccfd7104",501,0,0,0,501,"8,13,47,63,14,48,6,0,93,63,32,115",12,502,11.0,1
39616,tuguangquan_mybatis,e357f36a6460eb34f23a48f7ffc16d030b8f1123,0,1274074474,"updated pom to new mybatis configurations
added a new developers sections
",,966,0,0,0,966,"5,0,6,3,1,78,44,455,283,62,4,25",12,966,12.0,1
39931,alldatacenter_alldata,d361345e59dca612383385b4a4d255c28034b7eb,1,1570433990,"提交BigDataPlatform code
",0336a1ae49f8d2102e57454abdbd76c9da685e09,681,0,0,0,681,"3,61,71,40,146,82,20,24,52,82,36,48,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",14,683,13.0,1
40008,alldatacenter_alldata,b17ea1142bfe37628ac2559f3e12e4875a5703e4,162,1648521457,"feature(master): 引入trino
",187e9f3e124b683e479b7d6093912d1994aaa92b,11493,1,0,0,11494,"4,21,175,395,886,1965,2663,2721,2512,1963,5154,9217,6212,3126,1466,438,166,0,0,0,60,0,0,0,0,0,0,0,3,0",29,39147,12.0,1
43254,assimon_dujiaoka,0695f5c8a8326cace5fb7a0110b985da7566ba20,0,1623141269,"dujiaoka update version 2.0.+
",,1123,0,0,0,1123,"14,30,55,73,50,149,103,195,114,53,286,1",12,1123,12.0,1
